#;NAME;PSRJ;RAJ;DECJ;P0;P1;DM;DM1;RM;T0;DIST;DIST_DM;R_LUM;R_LUM14;AGE;BSURF;EDOT;EDOTD2;
;;;(hms);(dms);(s);;(cm^-3pc);(cm^-3pc/yr);(radm^-2);(MJD);(kpc);(kpc);(mJykpc^2);(mJykpc^2);(Yr);(G);(ergs/s);(ergs/kpc^2/s);
762;J1307-6318;J1307-6318;13:07:54.7;-63:18:35;4.962427;2.11e-14;374.00;*;136.00;*;10.783;10.783;*;1.63e+02;3.72e+06;1.04e+13;6.83e+30;5.87e+28;
763;J1307-67;J1307-67;13:07:41;-67:03:27;3.651200;*;44.00;*;*;*;1.093;1.093;*;*;*;*;*;*;
764;J1308+2127;J1308+2127;13:08:48.2;+21:27:06.7;10.312522;1.12e-13;*;*;*;*;*;*;*;*;1.46e+06;3.44e+13;4.03e+30;*;
765;J1308-23;J1308-23;13:08;-23;0.002830;*;22.36;*;*;*;1.713;1.713;*;*;*;*;*;*;
766;J1308-4650;J1308-4650;13:08:44.5;-46:50:29.7;1.058833;5.26e-16;66.00;*;*;*;2.188;2.188;*;*;3.19e+07;7.55e+11;1.75e+31;3.65e+30;
767;J1308-5844;J1308-5844;13:08:21.0;-58:44:13.8;0.464700;8.64e-15;205.60;*;9.10;*;6.462;6.462;*;8.77e+00;8.52e+05;2.03e+12;3.40e+33;8.14e+31;
768;J1309-6415;J1309-6415;13:09:16.6;-64:15:59;0.619454;8.79e-15;574.00;*;*;*;11.977;11.977;*;3.01e+01;1.12e+06;2.36e+12;1.46e+33;1.02e+31;
769;J1309-6526;J1309-6526;13:09:00.2;-65:26:16.6;0.398292;1.84e-17;340.00;*;*;*;11.256;11.256;*;1.90e+01;3.43e+08;8.66e+10;1.15e+31;9.07e+28;
770;B1309-12;J1311-1228;13:11:52.6;-12:28:01.6;0.447518;1.51e-16;36.21;*;-13.00;*;25.000;25.000;2.50e+03;3.12e+02;4.70e+07;2.63e+11;6.65e+31;1.06e+29;
771;J1311-3430;J1311-3430;13:11:45.7;-34:30:30.3;0.002560;2.10e-20;37.84;*;*;*;2.430;2.430;*;*;1.94e+09;2.34e+08;4.93e+34;8.35e+33;
772;J1312+0051;J1312+0051;13:12:46.6;+00:51:00.1;0.004228;1.75e-20;15.35;*;2.00;55123.8560;1.471;1.471;*;4.11e-01;3.82e+09;2.75e+08;9.15e+33;4.23e+33;
773;B1310+18;J1312+1810A;13:12:55.2;+18:10:05;0.033163;*;24.00;*;*;47060.7000;18.050;25.000;3.26e+02;*;*;*;*;*;
774;J1312+1810B;J1312+1810B;13:12:55.2;+18:10:05;0.006240;*;25.96;*;*;*;18.050;25.000;*;*;*;*;*;*;
775;J1312+1810C;J1312+1810C;13:12:55.2;+18:10:05;0.012530;*;26.11;*;*;*;18.050;25.000;*;*;*;*;*;*;
776;J1312+1810D;J1312+1810D;13:12:55.2;+18:10:05;0.006070;*;24.60;*;*;*;18.050;25.000;*;*;*;*;*;*;
777;B1309-53;J1312-5402;13:12:04.7;-54:02:42.5;0.728154;1.47e-16;133.00;*;143.00;*;4.905;4.905;3.61e+02;1.88e+01;7.87e+07;3.31e+11;1.50e+31;6.23e+29;
778;B1309-55;J1312-5516;13:12:53.5;-55:16:47.3;0.849243;5.70e-15;134.10;*;141.00;*;4.187;4.187;2.80e+02;5.33e+01;2.36e+06;2.23e+12;3.68e+32;2.10e+31;
779;J1312-6400;J1312-6400;13:12:07.1;-64:00:55.6;2.437432;6.83e-16;93.00;*;-12.90;*;1.526;1.526;*;1.75e+00;5.65e+07;1.31e+12;1.86e+30;8.00e+29;
780;J1313+0931;J1313+0931;13:13:23.0;+09:31:56;0.848933;8.00e-16;12.04;*;2.30;*;1.080;1.080;4.08e+00;1.87e-01;1.68e+07;8.34e+11;5.16e+31;4.43e+31;
781;J1314-6101;J1314-6101;13:14:23.4;-61:01:16;2.948390;1.17e-14;309.00;*;-388.00;*;8.539;8.539;*;2.99e+01;3.99e+06;5.94e+12;1.80e+31;2.47e+29;
782;J1316-6232;J1316-6232;13:16:46.3;-62:32:12.2;0.342825;5.30e-15;966.40;*;*;*;25.000;25.000;*;4.62e+02;1.03e+06;1.36e+12;5.19e+33;8.30e+30;
783;J1317-0157;J1317-0157;13:17;-01:57;0.002910;*;29.39;*;*;*;25.000;25.000;*;*;*;*;*;*;
784;J1317-5759;J1317-5759;13:17:46.2;-57:59:30.5;2.642199;1.26e-14;145.30;*;*;*;3.765;3.765;*;*;3.33e+06;5.83e+12;2.69e+31;1.90e+30;
785;J1317-6302;J1317-6302;13:17:44.6;-63:02:52.2;0.261271;1.02e-16;678.10;*;-504.00;*;12.771;12.771;*;2.61e+02;4.04e+07;1.66e+11;2.27e+32;1.39e+30;
786;B1316-60;J1319-6056;13:19:20.2;-60:56:46.7;0.284353;1.53e-15;400.94;*;-280.60;*;11.852;11.852;*;1.83e+02;2.95e+06;6.67e+11;2.62e+33;1.87e+31;
787;J1319-6105;J1319-6105;13:19:26.3;-61:05:26.2;0.421118;1.50e-15;440.60;*;-481.40;*;12.173;12.173;*;1.24e+02;4.44e+06;8.05e+11;7.94e+32;5.36e+30;
788;J1320-3512;J1320-3512;13:20:12.6;-35:12:26.0;0.458488;1.90e-18;16.42;*;-7.80;*;0.873;0.873;5.33e+00;3.58e+00;3.82e+09;2.99e+10;7.78e+29;1.02e+30;
789;B1317-53;J1320-5359;13:20:53.9;-53:59:05.0;0.279738;9.25e-15;97.10;*;141.00;*;2.204;2.204;8.74e+01;1.02e+01;4.79e+05;1.63e+12;1.67e+34;3.43e+33;
790;J1320+67;J1320+67;13:20;+67:30;1.028620;*;28.00;*;*;*;25.000;25.000;8.75e+02;*;*;*;*;*;
791;J1321-5922;J1321-5922;13:21:39.5;-59:22:52.1;1.279058;2.37e-15;383.00;*;*;*;25.000;25.000;*;1.19e+02;8.55e+06;1.76e+12;4.47e+31;7.15e+28;
792;B1322+83;J1321+8323;13:21:45.6;+83:23:39.4;0.670037;5.66e-16;13.32;*;-23.67;*;1.087;0.977;1.30e+01;1.06e+00;1.87e+07;6.23e+11;7.43e+31;6.29e+31;
793;J1322-62;J1322-62;13:22:54;-62:51;1.044851;*;733.60;*;*;*;15.752;15.752;*;7.44e+01;*;*;*;*;
794;J1322-6241;J1322-6241;13:22:32.1;-62:41:53.5;0.506058;2.59e-15;618.80;*;83.00;*;12.236;12.236;*;5.54e+01;3.10e+06;1.16e+12;7.88e+32;5.26e+30;
795;J1322-6329;J1322-6329;13:22:18.0;-63:29:37;2.764209;1.11e-14;659.00;*;*;*;12.376;12.376;*;2.60e+01;3.95e+06;5.60e+12;2.07e+31;1.35e+29;
796;J1324-6146;J1324-6146;13:24:43.9;-61:46:00;0.844109;5.58e-15;828.00;*;-1546.00;*;25.000;25.000;*;4.56e+02;2.40e+06;2.20e+12;3.66e+32;5.86e+29;
797;J1324-6302;J1324-6302;13:24:13.6;-63:02:21.1;2.483804;9.79e-16;497.00;*;*;*;11.685;11.685;*;3.14e+01;4.02e+07;1.58e+12;2.52e+30;1.85e+28;
798;J1325-6253;J1325-6253;13:25:04.8;-62:53:39.5;0.028969;*;303.33;*;-144.00;58979.0635;6.398;6.398;*;5.32e+00;*;*;*;*;
799;J1326+33;J1326+33;13:26:42;+33:46;0.041500;*;4.19;*;*;*;0.344;0.344;*;*;*;*;*;*;
800;J1326-4728A;J1326-4728A;13:26:39.6;-47:30:11.6;0.004109;2.70e-20;100.31;*;*;*;5.426;6.873;*;2.00e+00;2.41e+09;3.37e+08;1.54e+34;5.22e+32;
801;J1326-4728B;J1326-4728B;13:26:49.5;-47:29:24.6;0.004792;2.76e-20;100.27;*;*;*;5.426;6.883;*;1.62e+00;2.76e+09;3.68e+08;9.89e+33;3.36e+32;
802;J1326-4728C;J1326-4728C;13:26:44;-47:30;0.006868;*;100.68;*;*;*;5.426;6.965;*;8.83e-01;*;*;*;*;
803;J1326-4728D;J1326-4728D;13:26:44;-47:30;0.004579;*;96.54;*;*;*;5.426;6.083;*;7.95e-01;*;*;*;*;
804;J1326-4728E;J1326-4728E;13:26:44;-47:30;0.004208;*;94.38;*;*;*;5.426;5.686;*;5.59e-01;*;*;*;*;
805;B1323-58;J1326-5859;13:26:58.2;-58:59:29.2;0.477994;3.24e-15;287.17;*;-580.40;*;3.000;10.675;1.08e+03;1.62e+02;2.34e+06;1.26e+12;1.17e+33;1.30e+32;
806;B1323-63;J1326-6408;13:26:32.4;-64:08:43.8;0.792674;3.09e-15;502.70;*;226.40;*;11.992;11.992;2.59e+03;2.73e+02;4.06e+06;1.58e+12;2.45e+32;1.70e+30;
807;B1322-66;J1326-6700;13:26:02.7;-67:00:49.2;0.543015;5.33e-15;208.97;*;-52.50;*;6.697;6.697;1.26e+03;6.10e+02;1.62e+06;1.72e+12;1.31e+33;2.93e+31;
808;J1327-0755;J1327-0755;13:27:57.5;-07:55:29.8;0.002678;1.77e-21;27.91;*;-0.30;*;25.000;25.000;*;1.19e+02;2.39e+10;6.97e+07;3.64e+33;5.83e+30;
809;B1323-62;J1327-6222;13:27:17.1;-62:22:45.4;0.529929;1.88e-14;318.48;*;-322.60;*;4.000;6.509;2.16e+03;3.36e+02;4.47e+05;3.19e+12;4.99e+33;3.12e+32;
810;B1323-627;J1327-6301;13:27:07.4;-63:01:15.5;0.196480;1.53e-15;294.91;*;87.00;*;6.218;6.218;*;1.62e+02;2.03e+06;5.55e+11;7.96e+33;2.06e+32;
811;J1327-6400;J1327-6400;13:27:10.2;-64:00:13.1;0.280678;3.12e-14;679.00;*;-141.00;*;12.991;12.991;*;3.54e+01;1.43e+05;2.99e+12;5.57e+34;3.30e+32;
812;B1325-43;J1328-4357;13:28:06.4;-43:57:44.1;0.532699;3.01e-15;42.00;*;-22.90;*;1.424;1.424;3.65e+01;8.92e+00;2.80e+06;1.28e+12;7.87e+32;3.88e+32;
813;B1325-49;J1328-4921;13:28:33.5;-49:21:33.4;1.478721;6.10e-16;118.00;*;170.00;*;8.396;8.396;7.75e+02;5.78e+01;3.84e+07;9.61e+11;7.45e+30;1.06e+29;
814;J1329+13;J1329+13;13:29:00;+13:44;*;*;12.00;*;*;*;1.087;1.087;*;*;*;*;*;*;
815;J1329-6158;J1329-6158;13:29:03.3;-61:58:59;1.565218;3.39e-14;514.00;*;*;*;11.872;11.872;*;3.10e+01;7.32e+05;7.37e+12;3.49e+32;2.48e+30;
816;J1331-5245;J1331-5245;13:31:00.0;-52:45:25.4;0.648117;5.10e-16;148.40;*;83.00;*;8.933;8.933;*;2.39e+01;2.01e+07;5.82e+11;7.40e+31;9.27e+29;
817;J1332-03;J1332-03;13:32;-03:26;1.106400;*;27.10;*;*;*;25.000;25.000;*;*;*;*;*;*;
818;J1332-3032;J1332-3032;13:32:52.4;-30:32:17.3;0.650434;5.60e-16;15.10;*;*;*;0.882;0.882;7.00e+00;2.33e-01;1.84e+07;6.11e+11;8.04e+31;1.03e+32;
819;J1333-4449;J1333-4449;13:33:44.8;-44:49:26.2;0.345603;5.40e-19;44.30;*;-71.00;*;1.434;1.434;*;6.17e-01;1.01e+10;1.38e+10;5.16e+29;2.51e+29;
820;J1334+10;J1334+10;13:34:30;+10:05;0.911100;*;24.00;*;*;*;25.000;25.000;*;*;*;*;*;*;
821;J1334-5839;J1334-5839;13:34:30.1;-58:39:16.5;0.107718;2.16e-17;119.30;*;54.00;*;2.495;2.495;1.12e+02;3.86e+00;7.90e+07;4.88e+10;6.82e+32;1.10e+32;
822;J1335-3642;J1335-3642;13:35:36;-36:42;0.399192;*;41.82;*;*;*;2.495;2.495;6.23e+01;1.68e+00;*;*;*;*;
823;J1335-5656;J1335-5656;13:35;-56:56;0.003238;1.21e-20;*;*;*;*;*;*;*;*;4.26e+09;2.00e+08;1.40e+34;*;
824;J1336-2522;J1336-2522;13:36:20.8;-25:22:01.6;0.478145;3.31e-16;37.39;*;*;*;5.349;5.349;*;*;2.29e+07;4.02e+11;1.19e+32;4.17e+30;
825;J1336+33;J1336+33;13:36:00;+33:46;3.013000;*;8.50;*;*;*;0.719;0.719;*;*;*;*;*;*;
826;J1337-4441;J1337-4441;13:37:27.7;-44:41:42.3;1.257511;3.03e-16;97.80;*;-28.00;*;25.000;25.000;*;9.38e+02;6.57e+07;6.25e+11;6.02e+30;9.63e+27;
827;J1337-6306;J1337-6306;13:37:20.3;-63:06:23.3;0.207953;3.56e-16;777.70;*;*;*;12.932;12.932;*;1.84e+01;9.26e+06;2.75e+11;1.56e+33;9.34e+30;
828;J1337-6423;J1337-6423;13:37:31.8;-64:23:04.9;0.009423;2.47e-20;259.89;*;-108.30;*;5.952;5.952;*;9.67e+00;6.05e+09;4.88e+08;1.16e+33;3.29e+31;
829;B1334-61;J1338-6204;13:38:09.2;-62:04:18.7;1.239001;1.38e-14;640.30;*;-459.00;*;12.363;12.363;*;9.02e+02;1.42e+06;4.18e+12;2.86e+32;1.87e+30;
830;J1339-4712;J1339-4712;13:39:56.5;-47:12:05.5;0.137055;5.30e-19;39.90;*;17.00;*;1.212;1.212;*;1.03e+00;4.10e+09;8.62e+09;8.13e+30;5.53e+30;
831;J1339-6618;J1339-6618;13:39:56.6;-66:18:07.8;0.558179;3.50e-16;241.00;*;*;*;7.327;7.327;*;1.23e+01;2.53e+07;4.47e+11;7.95e+31;1.48e+30;
832;B1336-64;J1340-6456;13:40:00.3;-64:56:42.9;0.378622;5.05e-15;76.99;*;-2.00;*;1.402;1.402;1.77e+01;1.77e+00;1.19e+06;1.40e+12;3.67e+33;1.87e+33;
833;J1341-6023;J1341-6023;13:41:07.3;-60:23:34.7;0.627285;1.95e-14;364.60;*;-688.00;*;7.278;7.278;*;3.34e+01;5.11e+05;3.54e+12;3.11e+33;5.88e+31;
834;B1338-62;J1341-6220;13:41:42.6;-62:20:20.7;0.193340;2.53e-13;719.65;*;-947.00;*;12.599;12.599;*;4.29e+02;1.21e+04;7.08e+12;1.38e+36;8.71e+33;
835;J1342+2822A;J1342+2822A;13:42:00.6;+28:22:31.4;0.002545;*;26.50;*;*;58831.0845;10.180;25.000;*;7.25e-01;*;*;*;*;
836;J1342+2822B;J1342+2822B;13:42:11.0;+28:22:40.1;0.002389;1.86e-20;26.15;*;*;*;10.180;25.000;*;1.45e+00;2.04e+09;2.13e+08;5.38e+34;5.19e+32;
837;J1342+2822C;J1342+2822C;13:42:11.6;+28:22:38;0.002166;*;26.50;*;*;*;10.180;25.000;*;6.22e-01;*;*;*;*;
838;J1342+2822D;J1342+2822D;13:42:10.2;+28:22:36;0.005443;*;26.36;*;*;52655.3800;10.180;25.000;*;1.04e+00;*;*;*;*;
839;J1342+2822E;J1342+2822E;13:42:11.6;+28:22:38;0.005470;*;26.54;*;*;*;10.180;25.000;*;*;*;*;*;*;
840;J1342+2822F;J1342+2822F;13:42:11.6;+28:22:38;0.004400;*;26.47;*;*;*;10.180;25.000;*;*;*;*;*;*;
841;J1343+6634;J1343+6634;13:43:59.2;+66:34:25.0;1.394104;1.09e-15;30.03;*;57.02;*;25.000;25.000;*;*;2.03e+07;1.25e+12;1.59e+31;2.54e+28;
842;J1344-5855;J1344-5855;13:44:53.0;-58:55:24.7;0.252398;2.91e-15;294.10;*;*;*;7.537;7.537;*;7.84e+00;1.37e+06;8.68e+11;7.16e+33;1.26e+32;
843;J1344-6059;J1344-6059;13:44:39.6;-60:59:31;0.540102;4.30e-17;435.00;*;*;*;7.414;7.414;*;1.04e+01;1.99e+08;1.54e+11;1.08e+31;1.96e+29;
844;J1345-6115;J1345-6115;13:45:44.4;-61:15:30.6;1.253085;3.25e-15;278.10;*;-61.00;*;5.565;5.565;*;1.83e+01;6.11e+06;2.04e+12;6.52e+31;2.11e+30;
845;J1346-4918;J1346-4918;13:46:22.3;-49:18:07.2;0.299625;3.50e-17;74.42;*;*;*;2.529;2.529;*;3.20e+00;1.36e+08;1.04e+11;5.14e+31;8.03e+30;
846;J1347-5947;J1347-5947;13:47:19.3;-59:47:39.8;0.609962;1.42e-14;293.40;*;-548.00;*;6.285;6.285;*;2.65e+01;6.82e+05;2.97e+12;2.46e+33;6.24e+31;
847;J1348-6307;J1348-6307;13:48:42.4;-63:07:04;0.927772;3.79e-15;597.00;*;-603.80;*;10.640;10.640;*;5.77e+01;3.88e+06;1.90e+12;1.87e+32;1.65e+30;
848;J1349-6130;J1349-6130;13:49:36.6;-61:30:17.1;0.259365;5.12e-15;283.87;*;-380.00;*;5.480;5.480;*;2.28e+01;8.03e+05;1.17e+12;1.16e+34;3.86e+32;
849;J1349-63;J1349-63;13:49:18;-63:56;0.373034;*;478.00;*;*;*;9.312;9.312;*;*;*;*;*;*;
850;J1350-5115;J1350-5115;13:50:16.1;-51:15:24.5;0.295700;7.58e-16;90.39;*;-2.00;*;3.304;3.304;9.82e+01;1.39e+01;6.18e+06;4.79e+11;1.16e+33;1.06e+32;
851;J1350-6225;J1350-6225;13:50:44.4;-62:25:43.8;0.138158;8.88e-15;*;*;*;*;*;*;*;*;2.46e+05;1.12e+12;1.33e+35;*;
852;J1352-6803;J1352-6803;13:52:34.4;-68:03:37.1;0.628903;1.23e-15;214.60;*;20.40;*;9.902;9.902;*;9.80e+01;8.07e+06;8.91e+11;1.96e+32;2.00e+30;
853;J1354+2454;J1354+2454;13:54:04;+24:54:06;6.270000;*;20.00;*;*;*;3.732;3.732;*;*;*;*;*;*;
854;J1354-6249;J1354-6249;13:54:35;-62:49:30;2.951938;1.48e-14;254.00;*;*;*;5.159;5.159;*;6.39e+00;3.16e+06;6.69e+12;2.27e+31;8.53e+29;
855;B1352-51;J1355-5153;13:55:58.6;-51:53:53.9;0.644305;2.81e-15;112.10;*;55.00;*;4.984;4.984;2.98e+02;2.12e+01;3.63e+06;1.36e+12;4.15e+32;1.67e+31;
856;J1355-5747;J1355-5747;13:55:36.9;-57:47:15;2.038674;7.15e-16;229.00;*;*;*;6.443;6.443;*;1.49e+01;4.52e+07;1.22e+12;3.33e+30;8.02e+28;
857;J1355-5925;J1355-5925;13:55:59.1;-59:25:00.9;1.213381;5.99e-15;354.80;*;-451.50;*;7.208;7.208;*;2.86e+01;3.21e+06;2.73e+12;1.32e+32;2.55e+30;
858;J1355-6206;J1355-6206;13:55:21.3;-62:06:20.1;0.276603;3.10e-18;547.00;*;-474.00;*;7.542;7.542;*;3.07e+01;1.41e+09;2.96e+10;5.78e+30;1.02e+29;
859;J1356-5521;J1356-5521;13:56:50.5;-55:21:12.9;0.507380;7.24e-16;174.17;*;89.00;*;7.317;7.317;6.42e+02;4.82e+01;1.11e+07;6.13e+11;2.19e+32;4.08e+30;
860;B1353-62;J1357-62;13:57:25;-62:28;0.455761;*;416.70;*;-589.00;*;6.481;6.481;*;5.54e+02;*;*;*;*;
861;J1357-6429;J1357-6429;13:57:02.4;-64:29:30.2;0.166108;3.60e-13;128.50;*;-47.00;*;3.100;3.100;*;5.00e+00;7.31e+03;7.83e+12;3.10e+36;3.23e+35;
862;J1358-2533;J1358-2533;13:58:42;-25:33;0.912971;*;31.27;*;*;*;2.545;2.545;3.89e+01;9.72e-01;*;*;*;*;
863;J1358-6025;J1358-6025;13:58;-60:25;0.060533;3.02e-15;*;*;*;*;*;*;*;*;3.18e+05;4.32e+11;5.37e+35;*;
864;B1356-60;J1359-6038;13:59:58.2;-60:38:07.5;0.127508;6.33e-15;293.74;*;38.30;*;5.000;5.472;2.62e+03;3.12e+02;3.19e+05;9.09e+11;1.21e+35;4.82e+33;
865;J1400-1431;J1400-1431;14:00:37.0;-14:31:47.0;0.003084;7.23e-21;4.93;0.000;5.00;56958.3840;0.278;0.347;*;1.31e-02;6.76e+09;1.51e+08;9.73e+33;1.26e+35;
866;J1400+21;J1400+21;14:00:18;+21:27;*;*;10.50;*;*;*;0.908;0.908;*;*;*;*;*;*;
867;J1400-6325;J1400-6325;14:00:45.6;-63:25:42.6;0.031182;3.89e-14;563.00;*;*;*;7.000;9.169;*;1.22e+01;1.27e+04;1.11e+12;5.07e+37;1.03e+36;
868;B1358-63;J1401-6357;14:01:52.4;-63:57:42.0;0.842805;1.68e-14;98.00;*;62.00;*;1.800;1.762;1.10e+02;2.30e+01;7.94e+05;3.81e+12;1.11e+33;3.42e+32;
869;J1402+13;J1402+13;14:03:00;+13:09:12;0.005890;4.83e-17;*;*;*;*;*;*;*;*;1.93e+06;1.71e+10;9.34e+36;*;
870;B1359-51;J1402-5021;14:02:56.0;-50:21:43;1.380182;5.41e-15;51.00;*;*;*;1.285;1.285;1.65e+01;*;4.04e+06;2.77e+12;8.13e+31;4.92e+31;
871;J1403-0314;J1403-0314;14:03:41;-03:15:28;0.362634;*;31.00;*;*;*;25.000;25.000;*;*;*;*;*;*;
872;J1403-6310;J1403-6310;14:03:14.0;-63:10:27;0.399170;9.00e-17;305.00;*;-709.00;*;5.667;5.667;*;2.09e+01;7.03e+07;1.92e+11;5.59e+31;1.74e+30;
873;J1403-7646;J1403-7646;14:03:04.1;-76:46:57.5;1.306198;1.20e-15;100.60;*;94.00;*;5.307;5.307;1.13e+02;2.25e+01;1.72e+07;1.27e+12;2.13e+31;7.57e+29;
874;J1404+1159;J1404+1159;14:04:36.9;+11:59:16.0;2.650439;1.38e-15;18.50;*;4.00;*;2.189;2.189;1.29e+01;1.34e+00;3.05e+07;1.93e+12;2.92e+30;6.09e+29;
875;J1405-4656;J1405-4656;14:05:21.4;-46:56:02.3;0.007602;2.79e-20;13.88;*;-5.00;*;0.669;0.669;*;1.39e-01;4.32e+09;4.66e+08;2.51e+33;5.60e+33;
876;J1405-5641;J1405-5641;14:05:12.4;-56:41:24.2;0.617575;1.20e-15;273.00;*;*;*;12.383;12.383;*;1.53e+01;8.17e+06;8.70e+11;2.01e+32;1.31e+30;
877;J1406-4233;J1406-4233;14:06:04.7;-42:33:20.6;2.436795;6.81e-16;79.70;*;-68.00;*;6.785;6.785;*;1.06e+01;5.67e+07;1.30e+12;1.86e+30;4.04e+28;
878;J1406-5806;J1406-5806;14:06:01.2;-58:06:32;0.288349;6.11e-16;229.00;*;153.00;*;5.567;5.567;*;2.60e+01;7.48e+06;4.25e+11;1.01e+33;3.25e+31;
879;J1406-6121;J1406-6121;14:06:50.0;-61:21:27.9;0.213075;5.47e-14;537.29;*;880.00;*;7.292;7.292;*;2.34e+01;6.17e+04;3.45e+12;2.23e+35;4.20e+33;
880;J1407-6048;J1407-6048;14:07:58.6;-60:48:58.8;0.492344;3.16e-15;575.20;*;*;*;7.860;7.860;*;1.24e+01;2.47e+06;1.26e+12;1.04e+33;1.69e+31;
881;J1407-6153;J1407-6153;14:07:56.5;-61:53:59;0.701615;8.85e-15;645.00;*;*;*;8.205;8.205;*;2.42e+01;1.26e+06;2.52e+12;1.01e+33;1.50e+31;
882;J1409-6953;J1409-6953;14:09:16.9;-69:53:34.4;0.528591;8.40e-16;167.63;*;-51.00;*;8.751;8.751;*;2.30e+01;9.97e+06;6.74e+11;2.25e+32;2.93e+30;
883;J1410-6132;J1410-6132;14:10:23.5;-61:32:08.1;0.050052;3.20e-14;961.00;*;2270.00;*;13.510;13.510;*;3.47e+02;2.48e+04;1.28e+12;1.01e+37;5.52e+34;
884;J1410-7404;J1410-7404;14:10:07.3;-74:04:53.3;0.278729;6.74e-18;54.24;*;-4.00;*;1.336;1.336;*;2.14e+00;6.55e+08;4.39e+10;1.23e+31;6.88e+30;
885;J1411+2551;J1411+2551;14:11:18.8;+25:51:08.3;0.062453;9.56e-20;12.37;*;7.60;57617.0451;1.131;1.131;*;*;1.04e+10;2.47e+09;1.55e+31;1.21e+31;
886;J1412-6111;J1412-6111;14:12:59.6;-61:11:30.5;0.529156;1.91e-15;311.80;*;-93.00;*;5.284;5.284;*;1.23e+01;4.38e+06;1.02e+12;5.10e+32;1.83e+31;
887;J1412-6145;J1412-6145;14:12:07.6;-61:45:28.4;0.315258;9.90e-14;512.48;*;-52.00;*;7.097;7.097;*;3.48e+01;5.04e+04;5.65e+12;1.25e+35;2.48e+33;
888;J1412+7922;J1412+7922;14:12:55.8;+79:22:03.8;0.058199;3.29e-15;*;*;*;*;*;*;*;*;2.80e+05;4.43e+11;6.59e+35;*;
889;J1413-6141;J1413-6141;14:13:09.8;-61:41:13;0.285625;3.33e-13;667.60;*;-354.00;*;8.469;8.469;*;5.88e+01;1.36e+04;9.88e+12;5.65e+35;7.88e+33;
890;J1413-6205;J1413-6205;14:13:29.9;-62:05:38;0.109741;2.77e-14;*;*;*;*;2.150;*;*;*;6.28e+04;1.76e+12;8.27e+35;1.79e+35;
891;J1413-6222;J1413-6222;14:13:05.4;-62:22:27.8;0.292408;2.23e-15;808.10;*;-490.00;*;13.087;13.087;*;1.64e+02;2.08e+06;8.17e+11;3.52e+33;2.06e+31;
892;B1409-62;J1413-6307;14:13:31.3;-63:07:35.4;0.394946;7.43e-15;121.98;*;44.00;*;3.037;3.037;*;1.11e+01;8.42e+05;1.73e+12;4.76e+33;5.17e+32;
893;J1414-6802;J1414-6802;14:14:25.7;-68:02:58;4.630188;6.39e-15;153.50;*;*;*;5.420;5.420;*;1.91e+01;1.15e+07;5.50e+12;2.54e+30;8.65e+28;
894;J1415-6621;J1415-6621;14:15:31.2;-66:21:12.2;0.392479;5.80e-16;260.17;*;302.00;*;10.428;10.428;*;5.44e+01;1.07e+07;4.83e+11;3.79e+32;3.48e+30;
895;J1416-5033;J1416-5033;14:16:44.6;-50:33:17;0.794883;1.20e-16;58.50;*;*;*;1.423;1.423;*;2.02e-01;1.05e+08;3.13e+11;9.43e+30;4.66e+30;
896;J1416-6037;J1416-6037;14:16:30.5;-60:37:59.5;0.295580;4.28e-15;289.20;*;336.00;*;5.083;5.083;*;1.81e+01;1.09e+06;1.14e+12;6.54e+33;2.53e+32;
897;J1417-4402;J1417-4402;14:17:30.6;-44:02:57.4;0.002664;*;55.00;*;*;*;4.400;2.163;*;*;*;*;*;*;
898;J1418-3921;J1418-3921;14:18:50.2;-39:21:18.5;1.096806;8.89e-16;60.49;*;-15.00;*;4.081;4.081;4.00e+02;1.58e+01;1.95e+07;9.99e+11;2.66e+31;1.60e+30;
899;J1418-5945;J1418-5945;14:18:32.3;-59:45:00;1.672596;2.71e-16;369.00;*;*;*;6.140;6.140;*;6.79e+00;9.78e+07;6.81e+11;2.29e+30;6.06e+28;
900;J1418-6058;J1418-6058;14:18:42.7;-60:57:49;0.110573;1.69e-13;*;*;*;*;1.885;*;*;*;1.03e+04;4.38e+12;4.95e+36;1.39e+36;
901;B1417-54;J1420-5416;14:20:29.1;-54:16:22.7;0.935772;2.32e-16;129.60;*;-1.00;*;4.399;4.399;1.74e+02;1.53e+01;6.39e+07;4.72e+11;1.12e+31;5.78e+29;
902;J1420-5625;J1420-5625;14:20:03.0;-56:25:55.0;0.034117;6.75e-20;64.48;*;33.00;52388.9450;1.328;1.328;*;2.13e-01;8.01e+09;1.54e+09;6.71e+31;3.81e+31;
903;J1420-6048;J1420-6048;14:20:08.2;-60:48:16.4;0.068180;8.32e-14;360.15;*;-122.00;*;5.632;5.632;*;3.77e+01;1.30e+04;2.41e+12;1.04e+37;3.27e+35;
904;J1421-4409;J1421-4409;14:21:20.9;-44:09:04.5;0.006386;1.24e-20;54.64;*;-24.30;*;2.085;2.085;*;5.48e+00;8.18e+09;2.84e+08;1.87e+33;4.31e+32;
905;J1422-6138;J1422-6138;14:22:28.2;-61:38:28.3;0.340968;9.68e-14;*;*;*;*;*;*;*;*;5.58e+04;5.81e+12;9.64e+34;*;
906;J1423-6953;J1423-6953;14:23:26.7;-69:53:42.8;0.333411;1.45e-15;123.98;*;*;*;4.704;4.704;*;8.01e+00;3.64e+06;7.04e+11;1.55e+33;6.99e+31;
